Title,Catalog Subject,Course ID,Course Number,Instructors,Teaching Areas,Term,Website
Computer-Aided Machine Design,ENG-SCI,148434,51,Michelle Rosen,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-148434/2020/spring/19395
Computer-Aided Machine Design,ENG-SCI,148434,51,Michelle Rosen,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-148434/2020/fall/16395
Computing at Scale,COMPSCI,160624,242,H. Kung,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-160624/2020/spring/16331
Computing for Science and Engineering,APMTH,213407,10,Efthimios Kaxiras,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-213407/2020/fall/17778
Computing Foundations for Computational Science,COMPSCI,128104,205,David Sondak,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-128104/2020/spring/16317
Computing Hardware,COMPSCI,113856,141,Vijay Janapa Reddi,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-113856/2020/spring/16326
Critical Thinking in Data Science,APCOMP,207093,221,Michael Smith,Applied Computation,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-207093/2020/spring/16196
Data Science 1: Introduction to Data Science,APCOMP,109898,209A,Pavlos Protopapas|Kevin A. Rader|Christopher Tanner,Applied Computation,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-109898/2020/fall/21829
Data Science 1: Introduction to Data Science,COMPSCI,109899,109A,Pavlos Protopapas|Kevin A. Rader|Christopher Tanner,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-109899/2020/fall/21828
Data Science 1: Introduction to Data Science,COMPSCI,109899,109A,Pavlos Protopapas|Kevin A. Rader|Christopher Tanner,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-109899/2020/fall/16361
Data Science 1: Introduction to Data Science,APCOMP,109898,209A,Pavlos Protopapas|Kevin A. Rader|Christopher Tanner,Applied Computation,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-109898/2020/fall/16242
Data Science 2: Advanced Topics in Data Science,APCOMP,203547,209B,Pavlos Protopapas|Mark Glickman|Christopher Tanner,Applied Computation,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-203547/2020/spring/16194
Data Science 2: Advanced Topics in Data Science,COMPSCI,203546,109B,Pavlos Protopapas|Mark Glickman|Christopher Tanner,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-203546/2020/spring/16313
Data Structures and Algorithms,COMPSCI,115384,124,Michael Mitzenmacher|Adam Hesterberg,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-115384/2020/spring/16301
Decision Theory,ENG-SCI,131407,201,Demba Ba,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-131407/2020/spring/17134
Decision Theory,APMTH,203548,231,Demba Ba,Applied Mathematics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-203548/2020/spring/17135
Design of Useful and Usable Interactive Systems,COMPSCI,123971,179,Elena Glassman,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-123971/2020/spring/16292
Discrete Mathematics for Computer Science,COMPSCI,128073,20,Rebecca Nesson,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-128073/2020/spring/16297
Drug Delivery,ENG-SCI,122340,221,Samir Mitragotri,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-122340/2020/fall/18690
Earth Resources and the Environment,ESE,121463,109,John Shaw,Environmental Science & Engineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-121463/2020/spring/18148
"Electrical, Optical, and Magnetic Properties of Materials",APPHY,121594,218,Xin Li,Applied Physics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-121594/2020/spring/16261
Electron Microscopy Laboratory,APPHY,116509,291,David Bell,Applied Physics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-116509/2020/spring/16239
Electronics for Engineers,ENG-SCI,208134,54,Evelyn Hu|David Abrams,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-208134/2020/spring/19699
Elements of Data Science,COMPSCI,212950,10,Hanspeter Pfister|Xiao-Li Meng,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-212950/2020/spring/16335
Energy Technology,ENG-SCI,125380,231,Michael Aziz,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-125380/2020/spring/17132
Engineering Design Projects,ENG-SCI,144350,100HFA,James Anderson|Anas Chalah|Christopher Lombardo|Linsey Moyer|Michelle Rosen|Patrick Ulrich|Peter Zoogman,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-144350/2020/fall/16440
Engineering Design Projects,ENG-SCI,160553,100HFB,James Anderson|Anas Chalah|Christopher Lombardo|Linsey Moyer|Michelle Rosen|Patrick Ulrich|Peter Zoogman,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-160553/2020/spring/16410
Engineering Problem Solving and Design Project,ENG-SCI,144983,96,David Mooney,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-144983/2020/fall/21846
Engineering Problem Solving and Design Project,ENG-SCI,144983,96,Fawwaz Habbal|Kelly Miller|Jeffrey Paten|Nabil Harfoush,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-144983/2020/spring/16419
Engineering Quantum Mechanics,ENG-SCI,207088,170,Prineha Narang,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-207088/2020/spring/16427
Engineering Thermodynamics,ENG-SCI,135598,181,Michael Aziz,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-135598/2020/fall/16405
Environmental Chemistry,ESE,216418,164,Scot Martin,Environmental Science & Engineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-216418/2020/fall/18664
Example Title of Course,COMPSCI,,200,Larry Bird,,2019 Fall,http://example.com
Fairness and Privacy: Perspectives of Law and Probability,COMPSCI,204972,126,Cynthia Dwork|Martha Minow,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-204972/2020/fall/18765
Flavor Molecules of Food Fermentation: Exploration and Inquiry,ENG-SCI,156947,24,Pia Sorensen,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-156947/2020/spring/16372
Fluid Dynamics,ENG-SCI,146772,220,L Mahadevan,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-146772/2020/spring/17131
Foundations of Modern Optics,APPHY,121975,217,Lene Hau|Fawwaz Habbal,Applied Physics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-121975/2020/fall/18606
Fracture Mechanics,ENG-SCI,144024,247,Zhigang Suo,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-144024/2020/fall/17166
Global Warming Science 101,ESE,214500,101,Eli Tziperman,Environmental Science & Engineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-214500/2020/spring/16190
Graph Theory and Combinatorics,APMTH,118482,107,Leslie Valiant,Applied Mathematics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-118482/2020/spring/16210
Great Ideas in Computer Science,COMPSCI,119953,1,Henry Leitner,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-119953/2020/spring/16314
"Human Environmental Data Science: Agriculture, Conflict, and Health",ESE,216460,168,Peter Huybers,Environmental Science & Engineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-216460/2020/fall/19149
Humanitarian Design Projects,ENG-SCI,208044,91HFR,Christopher Lombardo,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-208044/2020/spring/16432
Humanitarian Design Projects,ENG-SCI,208044,91HFR,Christopher Lombardo,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-208044/2020/fall/16469
Humanity and its Futures: Systems Thinking Approaches,ENG-SCI,204471,26,Fawwaz Habbal|Vikram Mansharamani,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-204471/2020/spring/19638
Hydrology,ESE,137573,162,Kaighin McColl,Environmental Science & Engineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-137573/2020/fall/18590
"Inference, Information Theory, Learning and Statistical Mechanics",APPHY,212685,286,Sharad Ramanathan,Applied Physics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-212685/2020/fall/18608
Innovation in Science and Engineering: Conference Course,ENG-SCI,118939,139,David Weitz,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-118939/2020/fall/16441
Integrated Design,ENG-SCI,212920,285,B Altringer|Roberto Verganti,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-212920/2020/fall/16483
Integrating and Approximating,APMTH,212922,22B,Sarah Iams,Applied Mathematics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-212922/2020/spring/16221
Interdisciplinary Seminar in Applied Computation,APCOMP,109339,298R,Daniel Weinstock,Applied Computation,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-109339/2020/fall/16239
Interdisciplinary Seminar in Applied Computation,APCOMP,109339,298R,Daniel Weinstock,Applied Computation,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-109339/2020/spring/18967
Introduction to Applied Mathematics,APMTH,122564,50,Cengiz Pehlevan,Applied Mathematics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-122564/2020/spring/16206
Introduction to Bioelectronics,BE,211359,129,Jia Liu,Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-211359/2020/spring/18149
Introduction to Bioelectronics,ENG-SCI,215116,258,Jia Liu,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-215116/2020/spring/18195
Introduction to Biomaterials,BE,110020,191,Jennifer Lewis,Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-110020/2020/spring/16267
Introduction to Biomedical Imaging and Systems,BE,204470,128,Linsey Moyer,Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-204470/2020/spring/16270
Introduction to Computational Linguistics and Natural-language Processing,COMPSCI,117372,187,Stuart Shieber,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-117372/2020/fall/17163
Introduction to Computer Science,COMPSCI,152514,50,David Malan,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-152514/2020/fall/17156
Introduction to Computer Science (for SEAS concentrators unable to take in fall term),COMPSCI,152514,50,David Malan|Brian Yu,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-152514/2020/spring/16348
Introduction to Distributed Computing,COMPSCI,122813,262,James Waldo,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-122813/2020/spring/18145
Introduction to Electrical Engineering,ENG-SCI,140008,50,Marko Loncar|Christopher Lombardo,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-140008/2020/spring/16454
Introduction to Electronic and Photonic Devices,ENG-SCI,119048,173,Evelyn Hu,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-119048/2020/fall/16439
Introduction to Environmental Science and Engineering,ESE,116362,6,Elsie Sunderland|Steven Wofsy,Environmental Science & Engineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-116362/2020/spring/16184
Introduction to Fluid Mechanics and Transport Processes,ENG-SCI,144952,123,Petros Koumoutsakos,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-144952/2020/spring/16392
Introduction to Heat Transfer,ENG-SCI,108871,183,David Clarke,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-108871/2020/spring/19698
Introduction to Materials Science and Engineering,ENG-SCI,143870,190,Xin Li,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-143870/2020/fall/22514
Introduction to Materials Science and Engineering,ENG-SCI,143870,190,Xin Li,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-143870/2020/fall/16429
Introduction to Meteorology and Climate,ESE,156491,132,Brian Farrell,Environmental Science & Engineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-156491/2020/fall/17168
Introduction to Optimization: Models and Methods,ENG-SCI,156288,121,Yiling Chen|Margo Levine,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-156288/2020/fall/16400
Introduction to Optimization: Models and Methods,APMTH,123662,121,Yiling Chen|Margo Levine,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-123662/2020/fall/16258
Introduction to Optimization: Models and Methods,ENG-SCI,156288,121,Yiling Chen|Margo Levine,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-156288/2020/fall/21893
Introduction to Optimization: Models and Methods,APMTH,123662,121,Yiling Chen|Margo Levine,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-123662/2020/fall/21891
Introduction to Quantum Materials and Devices,ENG-SCI,215415,171,Robert Westervelt,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-215415/2020/spring/19732
Introduction to Quantum Theory of Solids,APPHY,143855,295A,Prineha Narang|David Bell,Applied Physics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-143855/2020/fall/16316
Introduction to Soft Matter,APPHY,121403,225,Jennifer Lewis,Applied Physics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-121403/2020/fall/18607
Introduction to Solid State Physics,APPHY,131331,195,Julia Mundy,Applied Physics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-131331/2020/fall/16310
Introduction to the Mechanics of Solids,ENG-SCI,131270,120,Joost Vlassak,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-131270/2020/spring/16368
Introduction to Theoretical Computer Science,COMPSCI,119064,121,Madhu Sudan|Adam Hesterberg,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-119064/2020/fall/16350
Inverse Problems in Science and Engineering,APMTH,135919,216,Michael P. Brenner,Applied Mathematics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-135919/2020/spring/16216
Kinetics of Condensed Phase Processes,APPHY,134488,292,Frans Spaepen,Applied Physics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-134488/2020/spring/17124
Launch Lab/Capstone 1,ENG-SCI,214579,292A,,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-214579/2020/winter/16452
Launch Lab/Capstone 2,ENG-SCI,214580,292B,Russell J Wilcox|Thomas Eisenmann,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-214580/2020/spring/16453
Machine Learning,COMPSCI,148156,181,David Parkes|Finale Doshi-Velez,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-148156/2020/spring/16305
Materials Selection and Design,ENG-SCI,216405,192,David Clarke,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-216405/2020/fall/18624
Mathematical Modeling,APMTH,118021,115,Zhiming Kuang,Applied Mathematics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-118021/2020/spring/16213
Mathematical Modeling,ENG-SCI,156427,115,Zhiming Kuang,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-156427/2020/spring/16370
Mechanical Systems,ENG-SCI,144157,125,Boris Kozinsky,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-144157/2020/fall/16423
Mechanics in Earth and Environmental Science,APPHY,213560,202,James Rice,Applied Physics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-213560/2020/fall/16321
Methodologies in Design Engineering,ENG-SCI,213398,298DR,Kit Parker|Fawwaz Habbal,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-213398/2020/fall/21901
Methods & Practices in Design Engineering,ENG-SCI,214632,298AR,Nabil Harfoush|Arianna Mazzeo,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-214632/2020/fall/19213
"Multi-Robot Systems: Control, Communication, and Security",COMPSCI,216508,286,Stephanie Gil,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-216508/2020/fall/19227
Networking at Scale,COMPSCI,208314,145,Minlan Yu,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-208314/2020/spring/16327
Neural Computation,APMTH,212912,226,Cengiz Pehlevan,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-212912/2020/fall/18361
Neural Control of Movement,BE,122341,130,Maurice Smith,Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-122341/2020/spring/18150
Neuroengineering,ENG-SCI,216799,225,Jia Liu,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-216799/2020/fall/21836
Neuroengineering,BE,216486,131,Jia Liu,Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-216486/2020/fall/19218
Nonlinear Dynamical Systems,APMTH,121989,108,Sarah Iams,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-121989/2020/fall/18213
Nonlinear Dynamical Systems,APMTH,121989,108,Sarah Iams,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-121989/2020/fall/21865
Operating Systems,COMPSCI,113847,161,James Mickens,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-113847/2020/spring/16323
Optics and Photonics,ENG-SCI,123351,273,Federico Capasso|Marko Loncar,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-123351/2020/fall/18604
Ordinary and Partial Differential Equations,APMTH,143432,105,Zhigang Suo|Ethan Levien,Applied Mathematics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-143432/2020/spring/18141
PhD Grad Cohort Research Seminar,COMPSCI,216811,290,David Brooks,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-216811/2020/fall/21903
Physical Mathematics I,APMTH,112798,201,Michael P. Brenner,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-112798/2020/fall/16264
"Physics as a Foundation for Science and Engineering, Part I",APPHY,108880,50A,Eric Mazur,Applied Physics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-108880/2020/fall/21808
"Physics as a Foundation for Science and Engineering, Part I",APPHY,108880,50A,Eric Mazur,Applied Physics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-108880/2020/fall/16285
"Physics as a Foundation for Science and Engineering, Part II",APPHY,108882,50B,Eric Mazur|Doeke Hekstra,Applied Physics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-108882/2020/spring/16259
Physiological Systems Analysis,BE,150189,110,Maurice Smith,Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-150189/2020/fall/16325
